ID	CONCEPT_A	CONCEPT_B	FREQUENCY
614	FAST	HURRY	0.06
615	CARRY IN HAND	CARRY UNDER ARM	0.06
616	END (OF TIME)	LAST (FINAL)	0.06
617	GRANDFATHER	OLD MAN	0.06
618	THROAT	VOICE	0.06
619	BOTTOM	BUTTOCKS	0.06
620	COUNTRY	VILLAGE	0.06
621	FIRE	LIGHT (RADIATION)	0.06
622	BALL	CIRCLE	0.06
623	ARM	WING	0.06
624	CUT	SPLIT	0.06
625	SPEAK	WORD	0.06
626	NORTH	SOUTH	0.06
627	BEND	TWIST	0.05
628	FISHING LINE	THREAD	0.05
629	AGAIN	AND	0.05
630	BREAK (DESTROY OR GET DESTROYED)	BROKEN	0.05
631	HEN	ROOSTER	0.05
632	BORE	HOLLOW OUT	0.05
633	IT	THAT	0.05
634	DAUGHTER-IN-LAW (OF MAN)	MOTHER-IN-LAW (OF MAN)	0.05
635	BATTLE	FIGHT	0.05
636	GREEN	YELLOW	0.05
637	DAUGHTER-IN-LAW (OF MAN)	MOTHER-IN-LAW (OF WOMAN)	0.05
638	FATHER'S SISTER	MOTHER-IN-LAW (OF WOMAN)	0.05
639	MEDICINE	POISON	0.05
640	GREEN	RAW	0.05
641	GRANDCHILD	GRANDDAUGHTER	0.04
642	RISE (MOVE UPWARDS)	STAND	0.04
643	SALTY	SOUR	0.04
644	THICK	WIDE	0.04
645	DAUGHTER-IN-LAW (OF MAN)	FATHER-IN-LAW (OF WOMAN)	0.04
646	FOOT	FOOTPRINT	0.04
647	BELOW OR UNDER	INSIDE	0.04
648	BUY	PAY	0.04
649	LET GO OR SET FREE	LIBERATE	0.04
650	PRICE	WAGES	0.04
651	FORBID	REFUSE	0.04
652	GET	PICK UP	0.04
653	TAKE	TRAP (CATCH)	0.04
654	DIRTY	UGLY	0.04
655	MOSQUITO	SANDFLY	0.34
656	EASY	LIGHT (WEIGHT)	0.33
657	BESIDE	NEAR	0.29
658	BRUSH	COMB	0.29
659	DYE	PAINT (PIGMENTS)	0.27
660	BE ALIVE	LIFE	0.23
661	GRANDSON	NEPHEW	0.20
662	BUY	TAKE	0.19
663	DRAG	PULL	0.19
664	GRANDDAUGHTER	NIECE	0.18
665	BLOW (OF WIND)	BLOW (WITH MOUTH)	0.17
666	TOMORROW	YESTERDAY	0.16
667	LAY (VERB)	PUT	0.15
668	JOG (SOMETHING)	SHAKE	0.14
669	AMOUNT	COUNT (QUANTITY)	0.14
670	BITTER	SALTY	0.13
671	LINE	STROKE (OF PEN)	0.13
672	LIKE	LOVE	0.13
673	CORRECT (RIGHT)	RIGHT	0.13
674	GRIND	PRESS	0.13
675	EDGE	FRINGE	0.12
676	CONDEMN	CONVICT	0.12
677	SOUND OR NOISE	TONE (MUSIC)	0.11
678	LEAVE	WALK	0.10
679	STOMACH	WOMB	0.10
680	MOLAR TOOTH	TOOTH	0.10
681	BAD	EVIL	0.10
682	STORM	WIND	0.10
683	CIRCLE	WHEEL	0.10
684	BODY	CORPSE	0.09
685	COAST	SHORE	0.09
686	RED	RIPE	0.09
687	BELIEVE	THINK (BELIEVE)	0.09
688	GUESS	THINK (REFLECT)	0.09
689	CULTIVATE	PLANT (SOMETHING)	0.09
690	TONE (MUSIC)	VOICE	0.08
691	RUB	SCRAPE	0.08
692	KNIFE	SWORD	0.08
693	CHAT (WITH SOMEBODY)	TALK	0.08
694	ALCOHOL (FERMENTED DRINK)	WINE	0.08
695	HALF	PART	0.08
696	IDOL	STATUE	0.08
697	BELOW OR UNDER	BOTTOM	0.08
698	BE LATE	LATE	0.07
699	ASK (REQUEST)	PRAY	0.07
700	DAUGHTER-IN-LAW (OF WOMAN)	SON-IN-LAW (OF WOMAN)	0.07
701	SMELL (STINK)	STINKING	0.07
702	DISEASE	PAIN	0.07
703	FIN	WING	0.07
704	DIFFICULT	HARD	0.07
705	SPREAD OUT	STRETCH	0.07
706	ALONE	ONLY	0.07
707	SOFT	WEAK	0.07
708	HAVE	HOLD	0.07
709	NO	NOT	0.06
710	MARRIED WOMAN	WOMAN	0.06
711	MAT	RUG	0.06
712	DAY (24 HOURS)	SUN	0.06
713	CHICKEN	FOWL	0.06
714	LIGHTNING	THUNDER	0.06
715	DEFEND	RESCUE	0.06
716	BUILD	PRODUCE	0.06
717	FEATHER	PUBIC HAIR	0.06
718	BOLT (OF LIGHTNING)	THUNDER	0.06
719	HAVE	KEEP	0.06
720	INTESTINES	STOMACH	0.06
721	DIVIDE	SPLIT	0.06
722	ROPE	VINE	0.06
723	BRING	TAKE	0.06
724	KEEP	OWN	0.06
725	DISEASE	SICK	0.06
726	ARROW	SPEAR	0.06
727	LOW	SHALLOW	0.06
728	IN	INSIDE	0.06
729	EDGE	MOUTH	0.06
730	CUP	DISH	0.05
731	HUSBAND	MARRIED MAN	0.05
732	JUG	POT	0.05
733	BURY	HIDE (CONCEAL)	0.05
734	ADOBE	BRICK	0.05
735	BOAST	PROUD	0.05
736	MUMBLE	WHISPER	0.05
737	BLOW (OF WIND)	FAN ACTION	0.05
738	FAST	IMMEDIATELY	0.05
739	YOUNG MAN	YOUNG WOMAN	0.05
740	HEAR	SMELL (PERCEIVE)	0.05
741	BELOW OR UNDER	DOWN	0.05
742	BELIEVE	OBEY	0.05
743	DEAD	DIE	0.05
744	VAGINA	VULVA	0.05
745	BEER	WINE	0.05
746	HOW	WHERE	0.04
747	END (OF SPACE)	TOP	0.04
748	BEHIND	LAST (FINAL)	0.04
749	FISHING LINE	ROPE	0.04
750	PLAIT	WEAVE	0.04
751	MIND	THINK (REFLECT)	0.04
752	MEASURE	TRY	0.04
753	ANNOUNCE	TELL	0.04
754	FISH POISON	POISON	0.04
755	COME BACK	RETURN HOME	0.04
756	FLEA	LOUSE	0.04
757	DAUGHTER-IN-LAW (OF WOMAN)	MOTHER-IN-LAW (OF WOMAN)	0.04
758	HOW	WHY	0.04
759	GO DOWN (DESCEND)	LAND (DESCEND)	0.04
760	CERTAIN	CORRECT (RIGHT)	0.04
761	HIP	WAIST	0.04
762	MOTHER-IN-LAW (OF WOMAN)	SON-IN-LAW (OF WOMAN)	0.04
763	GROAN	SHRIEK	0.04
764	RED	YELLOW	0.04
765	FATHER-IN-LAW (OF WOMAN)	SON-IN-LAW (OF MAN)	0.04
766	HOUSE	ROOF	0.04
767	STRIKE OR BEAT	THRESH	0.04
768	BIG	HIGH	0.04
769	CARCASS	CORPSE	0.04
770	NOW	SOON	0.04
771	BARK	SHELL	0.04
772	COMMON COLD (DISEASE)	NASAL MUCUS (SNOT)	0.04
773	NEED (NOUN)	WANT	0.04
774	HEART	MIND	0.03
775	DITCH	HOLE	0.03
776	BOIL (OF SKIN)	SWELLING	0.03
777	ONE	ONLY	0.26
778	AIR	WEATHER	0.23
779	BODY	FLESH	0.21
780	GRASS	PLANT (VEGETATION)	0.18
781	HIT	KILL	0.16
782	KISS	SUCK	0.15
783	RAM	SHEEP	0.15
784	BRAVE	DARE	0.12
785	PLACE (POSITION)	SPACE (AVAILABLE)	0.12
786	CALL	INVITE	0.12
787	EYELASH	EYELID	0.11
788	SMOKE (EXHAUST)	SMOKE (INHALE)	0.10
789	BEAT	KNOCK	0.10
790	BECOME	HAPPEN	0.10
791	AREA	PLACE (POSITION)	0.10
792	BREAK (DESTROY OR GET DESTROYED)	DESTROY	0.10
793	BUY	GET	0.09
794	CARRY ON HEAD	CARRY ON SHOULDER	0.09
795	HORSE	STALLION	0.09
796	DOUBT	SUSPECT	0.09
797	ELBOW	KNEE	0.09
798	DRINK	SUCK	0.09
799	COLD (CHILL)	FROST	0.09
800	LOUD	STRONG	0.09
801	CARRY IN HAND	CARRY ON HEAD	0.09
802	EDGE	END (OF SPACE)	0.09
803	BE	DWELL (LIVE, RESIDE)	0.08
804	RIGHT	STRAIGHT	0.08
805	BE LATE	SLOW	0.08
806	BE ALIVE	RAW	0.08
807	HEAT	HOT	0.08
808	NEW	YOUNG	0.07
809	DARK	NIGHT	0.07
810	FLAT	PLAIN	0.07
811	DIE	KILL	0.07
812	CARRY	CARRY UNDER ARM	0.07
813	PAIN	WOUND	0.07
814	BONE	LEG	0.07
815	BOARD	SHELF	0.07
816	CLAN	RELATIVES	0.06
817	CITIZEN	PEOPLE	0.06
818	BOARD	TABLE	0.06
819	ALCOHOL (FERMENTED DRINK)	BEER	0.06
820	SKY	WEATHER	0.06
821	HORSE	MARE	0.06
822	BELT	STRAP	0.06
823	GRANDMOTHER	MOTHER-IN-LAW (OF WOMAN)	0.06
824	GROW	RISE (MOVE UPWARDS)	0.06
825	LAZY	WEAK	0.06
826	ANXIETY	GRIEF	0.06
827	RIPE	YELLOW	0.06
828	COUNTRY	MAINLAND	0.06
829	LANGUAGE	SPEAK	0.06
830	DO OR MAKE	SAY	0.06
831	KING	QUEEN	0.05
832	DAMP	WET	0.05
833	CHEEK	FACE	0.05
834	BUILD	DO	0.05
835	SHADE	SPIRIT	0.05
836	ORDER	RULE	0.05
837	SUNDAY	WEEK	0.05
838	FATHER-IN-LAW (OF MAN)	SON-IN-LAW (OF WOMAN)	0.05
839	SEPARATE	SPLIT	0.05
840	DINNER (SUPPER)	FOOD	0.04
841	COW	OX	0.04
842	FATHER-IN-LAW (OF MAN)	MOTHER-IN-LAW (OF WOMAN)	0.04
843	STEAL	THIEF	0.04
844	COOK (SOMETHING)	COOKED	0.04
845	FEEL	SMELL (PERCEIVE)	0.04
846	LAND	PLACE (POSITION)	0.04
847	PREACH	SPEECH	0.04
848	CLAY	LAND	0.04
849	LIE (MISLEAD)	PERJURY	0.04
850	KEEP	PUT	0.04
851	EXPLAIN	TELL	0.04
852	MISS (A TARGET)	MISTAKE	0.04
853	APPROACH	ARRIVE	0.04
854	BOWL	SAUCER	0.04
855	TURN	TWIST	0.04
856	GET	OWN	0.04
857	FINGER	HAND	0.04
858	CLOTH	DRESS	0.04
859	THING	WHAT	0.04
860	BEAK	TOOTH	0.04
861	FRUIT	GRAIN	0.04
862	ARM	BRANCH	0.04
863	AIR	BREATHE	0.04
864	HUT	TENT	0.04
865	DAMAGE	DESTROY	0.04
866	COLLAR	NECKLACE	0.04
867	FISH TRAP	FISHNET	0.04
868	COUSIN	YOUNGER SISTER	0.04
869	SELL	TRADE OR BARTER	0.04
870	COUNTRY	TOWN	0.04
871	COLLAR	THROAT	0.04
872	FUR	PUBIC HAIR	0.04
873	CHILD-IN-LAW	SON-IN-LAW (OF WOMAN)	0.03
874	BABY	BOY	0.03
875	COUSIN	NIECE	0.03
876	BURN (SOMETHING)	ROAST OR FRY	0.03
877	LINE	THREAD	0.03
878	BECAUSE	CAUSE	0.03
879	DEEP	TALL	0.03
880	FATHER-IN-LAW (OF WOMAN)	MOTHER'S BROTHER	0.03
881	COUNT	WEIGH	0.03
882	NUT	SEED	0.03
883	ROUGH (OF SEA)	WAVE	0.03
884	FATHER-IN-LAW (OF WOMAN)	MOTHER-IN-LAW (OF MAN)	0.03
885	LIGHT (RADIATION)	SHINE	0.03
886	I	WE	0.03
887	BOWL	POT	0.03
888	FATHER-IN-LAW (OF MAN)	UNCLE	0.03
889	REMEMBER	THINK (BELIEVE)	0.03
890	GET	HAVE	0.03
891	LEARN	READ	0.21
892	ADZE	AXE	0.19
893	CHIEFTAIN	HEAD	0.18
894	RUB	WIPE	0.16
895	DIFFICULT	HEAVY	0.15
896	CAST	POUR	0.15
897	HOLD	TRAP (CATCH)	0.15
898	DEMON	SPIRIT	0.13
899	BRIGHT	CLEAR	0.13
900	CARVE	CHOP	0.13
901	COOK (SOMETHING)	PREPARE	0.13
902	ITEM	THING	0.13
903	DONATE	GIVE	0.12
904	FINGERNAIL OR TOENAIL	PAW	0.12
905	CONNECT	TIE	0.11
906	GUESS	THINK (BELIEVE)	0.11
907	BE BORN	BEGET	0.10
908	BARK	SKIN (OF FRUIT)	0.10
909	DEFEND	PROTECT	0.09
910	QUIET	SLOW	0.09
911	DIE	DIE (FROM ACCIDENT)	0.09
912	LET GO OR SET FREE	PERMIT	0.09
913	GRIEF	PAIN	0.08
914	PINCH	SQUEEZE	0.08
915	LOOK	LOOK FOR	0.08
916	ANNOUNCE	SAY	0.08
917	FAULT	WRONG	0.08
918	LEG	LOWER LEG	0.08
919	BABY	CHILD (DESCENDANT)	0.08
920	DARK	OBSCURE	0.07
921	ADJUDICATE	CONDEMN	0.07
922	TURN (SOMETHING)	TWIST	0.07
923	ARM	LOWER ARM	0.07
924	FLOCK (OF ANIMALS)	SWARM (OF BIRDS)	0.07
925	FIREPLACE	OVEN	0.07
926	ROLL	TURN	0.07
927	AUNT	UNCLE	0.06
928	GIVE	PUT	0.06
929	FOLD	WRAP	0.06
930	PIECE	SLICE	0.06
931	HE-GOAT	RAM	0.06
932	ALWAYS	OFTEN	0.06
933	PRESS	PUSH	0.06
934	LATE	SLOW	0.06
935	DISTURB	HINDER	0.06
936	SWING (MOVEMENT)	SWING (SOMETHING)	0.06
937	HAND	PALM OF HAND	0.06
938	FEATHER	WOOL	0.06
939	DEBT	OWE	0.06
940	EXPLAIN	SAY	0.06
941	FOREST	TREE	0.06
942	LIGHT (RADIATION)	TORCH OR LAMP	0.06
943	MIX	MOVE	0.06
944	BEAK	LIP	0.06
945	BE ABLE	KNOW (SOMETHING)	0.06
946	KING	MASTER	0.05
947	HIT	KNOCK	0.05
948	FATHER-IN-LAW (OF WOMAN)	GRANDFATHER	0.05
949	TORTOISE	TURTLE	0.05
950	PRAY	WORSHIP	0.05
951	DAUGHTER-IN-LAW (OF WOMAN)	SON-IN-LAW (OF MAN)	0.05
952	DRIVE	WALK	0.05
953	DAUGHTER	NIECE	0.05
954	DRINK	SMOKE (INHALE)	0.05
955	DAMAGE	SPOIL (SOMEBODY OR SOMETHING)	0.05
956	EARN	GET	0.05
957	FEEL	UNDERSTAND	0.05
958	HEALTHY	STRONG	0.05
959	ADJUDICATE	JUDGMENT	0.05
960	GET	GRASP	0.05
961	EDGE	LIP	0.04
962	BREAK (OF ROPE)	TEAR (SHRED)	0.04
963	COME	COME BACK	0.04
964	BREAK (CLEAVE)	DESTROY	0.04
965	DREAM (SOMETHING)	SLEEP	0.04
966	COME BACK	GIVE BACK	0.04
967	CLOTHES	PUT ON	0.04
968	PRISONER	SLAVE	0.04
969	GOOD	RIGHT	0.04
970	NEPHEW	SON	0.04
971	FRESH	NEW	0.04
972	FRONT TOOTH (INCISOR)	TOOTH	0.04
973	TIRED	WEAK	0.04
974	WHAT	WHY	0.04
975	HOPE	WANT	0.04
976	DARKNESS	OBSCURE	0.04
977	ENTER	SET (HEAVENLY BODIES)	0.04
978	FOOTPRINT	ROAD	0.04
979	PAINTING	WRITE	0.04
980	EXPENSIVE	PRICE	0.04
981	FRINGE	SHORE	0.04
982	ARSON	BURN (SOMETHING)	0.04
983	MIND	THOUGHT	0.04
984	BODY	TREE TRUNK	0.04
985	CURSE	SCOLD	0.04
986	PUT	PUT ON	0.04
987	FIRE	TORCH OR LAMP	0.04
988	BIG	LONG	0.04
989	THEY	YOU	0.04
990	COAT	SHIRT	0.04
991	BEAUTIFUL	CLEAN	0.04
992	BACK	WAIST	0.04
993	FIRST	IN FRONT OF	0.04
994	BLUE	UNRIPE	0.04
995	CLIMB	RIDE	0.04
996	HALT (STOP)	STAND	0.04
997	HIGH	TOP	0.04
998	SKY	UP	0.04
999	PART	SOME	0.04
1000	FRAGRANT	SWEET	0.04
1001	DAY (NOT NIGHT)	WORLD	0.03
1002	HE	THAT	0.03
1003	COUSIN	YOUNGER BROTHER	0.03
1004	SHELL	SKIN	0.03
1005	CHURCH	TEMPLE	0.03
1006	CALL BY NAME	NAME	0.03
1007	FAMILY	PARENTS	0.03
1008	LETTER	PAPER	0.03
1009	BOTTOM	FLOOR	0.03
1010	HOUSE	VILLAGE	0.03
1011	GET	HOLD	0.03
1012	CHILD-IN-LAW	SON-IN-LAW (OF MAN)	0.03
1013	DEFEAT	VICTORY	0.03
1014	GO	MOVE (ONESELF)	0.03
1015	MARRIED MAN	MARRIED WOMAN	0.03
1016	YOUNG	YOUNG WOMAN	0.03
1017	COUSIN	NEPHEW	0.03
1018	OBEY	UNDERSTAND	0.03
1019	CHEAP	EASY	0.03
1020	COUSIN	OLDER SISTER	0.03
1021	MAN	PEOPLE	0.03
1022	FIRE	HELL	0.03
1023	RIVER	SEA	0.03
1024	PATH	STREET	0.03
1025	STRAIGHT	TRUE	0.03
1026	HAIR (HEAD)	WOOL	0.03
1027	CHOKE	DROWN	0.03
1028	BARK	FUR	0.03
1029	BOWL	PAN	0.03
1030	ANNOUNCE	EXPLAIN	0.03
1031	MARKET	STORE	0.03
1032	PREACH	TELL	0.03
1033	SPEAK	VOICE	0.03
1034	PITY	REGRET	0.03
1035	COUSIN	OLDER BROTHER	0.03
1036	PROMISE	SWEAR	0.03
1037	GROAN	HOWL	0.03
1038	BE ALIVE	SIT	0.03
1039	FATHER-IN-LAW (OF WOMAN)	MOTHER-IN-LAW (OF WOMAN)	0.03
1040	PRECIPICE	STONE OR ROCK	0.22
1041	DAUGHTER	YOUNG WOMAN	0.22
1042	EAGLE	VULTURE	0.21
1043	FRUIT	VEGETABLES	0.20
1044	HERE	THIS	0.17
1045	SEW	WEAVE	0.16
1046	FLOAT	SAIL	0.16
1047	BAD	SEVERE	0.14
1048	HOLD	SEIZE	0.14
1049	AGE	TIME	0.13
1050	INTENTION	WANT	0.12
1051	CLUB	WALKING STICK	0.12
1052	OLD	OLD (AGED)	0.12
1053	EAT	MEAL	0.12
1054	CARRY	LEAD (GUIDE)	0.12
1055	MANY	MORE	0.11
1056	LEG	SHIN	0.11
1057	BAKE	COOK (SOMETHING)	0.11
1058	FISH TRAP	TRAP (PITFALL)	0.11
1059	FINGERNAIL	PAW	0.10
1060	RAW	WET	0.10
1061	BRASS INSTRUMENT (HORN OR TRUMPET)	HORN (ANATOMY)	0.10
1062	BEVERAGE	WATER	0.10
1063	ARCH	BOW	0.10
1064	DOUGH	FLOUR	0.10
1065	HALF	SIDE	0.09
1066	SAP	WATER	0.09
1067	SWEEP	WIPE	0.09
1068	ANIMAL	CATTLE	0.09
1069	DRIP (EMIT LIQUID)	DRIP (FALL IN GLOBULES)	0.09
1070	BETRAY	SELL	0.09
1071	PLAIT OR BRAID OR WEAVE	SPIN	0.09
1072	PLAIT OR BRAID OR WEAVE	TWIST	0.08
1073	CARRY IN HAND	CARRY ON SHOULDER	0.08
1074	DITCH	FURROW	0.08
1075	FINE OR THIN	THIN (OF SHAPE OF OBJECT)	0.08
1076	RAFTER	RIDGEPOLE	0.08
1077	EARLY	SOON	0.08
1078	SNAKE	WORM	0.08
1079	SWAY	SWING (MOVEMENT)	0.07
1080	FAN (OBJECT)	FAN ACTION	0.07
1081	FLAT	STRAIGHT	0.07
1082	MOUSE	RAT	0.07
1083	GOAT	SHEEP	0.07
1084	GENTLE	SOFT	0.07
1085	LIFT	RISE (MOVE UPWARDS)	0.07
1086	MANNER	ROAD	0.07
1087	CLEAN	CLEAR	0.07
1088	DEFEND	PREVENT	0.07
1089	GOD	SKY	0.07
1090	SWEET	TASTY	0.07
1091	BAD LUCK	GRIEF	0.06
1092	BORE	STAB	0.06
1093	EARLY	FAST	0.06
1094	CONNECT	TIE UP (TETHER)	0.06
1095	DUST	SMOKE (EXHAUST)	0.06
1096	ASK (REQUEST)	BORROW	0.06
1097	BE	HAVE	0.06
1098	CALCULATE	READ	0.06
1099	DRIVE	RIDE	0.06
1100	HE OR SHE OR IT	THAT	0.06
1101	CARRY ON HEAD	CARRY UNDER ARM	0.06
1102	COLD	COLD (OF WEATHER)	0.06
1103	BLOOD	RED	0.06
1104	HARD	LOUD	0.06
1105	EMERGE (APPEAR)	SEEM	0.06
1106	STICK	WOOD	0.06
1107	SPLIT	TEAR (SHRED)	0.05
1108	ALONE	ONE	0.05
1109	DAWN	MORNING	0.05
1110	HELP	RESCUE	0.05
1111	GIVE	PERMIT	0.05
1112	DO OR MAKE	WORK (LABOUR)	0.05
1113	BACK	SPINE	0.05
1114	DO OR MAKE	GIVE	0.05
1115	READ	SING	0.05
1116	FAT (ORGANIC SUBSTANCE)	OINTMENT	0.05
1117	BACK	BEHIND	0.05
1118	BARK	SCALE	0.05
1119	BELOW OR UNDER	LOW	0.05
1120	COLD	COMMON COLD (DISEASE)	0.05
1121	RAG	TOWEL	0.05
1122	LEAD (GUIDE)	RULE	0.05
1123	CLIMB	CRAWL	0.05
1124	BREATHE	SPIRIT	0.04
1125	SON	YOUNG MAN	0.04
1126	BLOOD VESSEL	ROOT	0.04
1127	MOUNTAIN OR HILL	TOP	0.04
1128	ROLL	TURN (SOMETHING)	0.04
1129	FATHER-IN-LAW (OF MAN)	GRANDFATHER	0.04
1130	HOW	WHICH	0.04
1131	HUNT	LOOK FOR	0.04
1132	BOUNDARY	END (OF SPACE)	0.04
1133	HAND	WRIST	0.04
1134	KNOT	TIE	0.04
1135	SAND	SHORE	0.04
1136	FLOW	WALK	0.04
1137	GRAPE	VINE	0.04
1138	LINE	ROPE	0.04
1139	END (OF SPACE)	FRINGE	0.04
1140	TWIST	WRAP	0.04
1141	SMOKE (INHALE)	SUCK	0.04
1142	ROW	RUDDER	0.04
1143	FLOOR	GROUND	0.04
1144	DO	PRODUCE	0.04
1145	FLY (INSECT)	MOSQUITO	0.04
1146	KNOW (SOMETHING)	RECOGNIZE (SOMEBODY)	0.04
1147	PATH	PATH OR ROAD	0.04
1148	DAWN	LIGHT (RADIATION)	0.04
1149	RELATIVES	SIBLING	0.04
1150	CLOAK	PONCHO	0.04
1151	ARM	UPPER ARM	0.04
1152	NEPHEW	SIBLING'S CHILD	0.04
1153	CUP	PLATE	0.04
1154	KNEAD	MIX	0.04
1155	AIR	SKY	0.04
1156	DEEP	HIGH	0.04
1157	HEAR	KNOW (SOMETHING)	0.04
1158	BEESWAX	CANDLE	0.04
1159	LOWER ARM	UPPER ARM	0.04
1160	DOWN OR BELOW	INSIDE	0.04
1161	HAWK	VULTURE	0.04
1162	WEATHER	WORLD	0.04
1163	OLDER SISTER	YOUNGER SISTER	0.04
1164	COUNTRY	FLOOR	0.04
1165	BLOOD VESSEL	TENDON	0.04
1166	KICK	STRIKE OR BEAT	0.04
1167	LUNCH	MEAL	0.03
1168	GUESS	SUSPECT	0.03
1169	DANCE	SING	0.03
1170	BOTTOM	LOW	0.03
1171	BOIL (SOMETHING)	COOK (SOMETHING)	0.03
1172	BURY	PLANT (SOMETHING)	0.03
1173	LIGHT (RADIATION)	SUN	0.03
1174	SPEECH	TELL	0.03
1175	DUCK	GOOSE	0.03
1176	FIGHT	KILL	0.03
1177	HOE	SPADE	0.03
1178	CUSTOM	LAW	0.03
1179	WHERE	WHICH	0.03
1180	BROTHER	YOUNGER SISTER	0.03
1181	BE HUNGRY	HUNGER	0.03
1182	OIL (ORGANIC SUBSTANCE)	OINTMENT	0.03
1183	NO	ZERO	0.03
1184	DONKEY	MULE	0.03
1185	MOUNTAIN OR HILL	STONE OR ROCK	0.03
1186	LAND	NATIVE COUNTRY	0.03
1187	BUILD	MOLD	0.03
1188	ANIMAL	MEAT	0.03
1189	SHALLOW	THIN (OF SHAPE OF OBJECT)	0.03
1190	BACK	SHOULDER	0.03
1191	FEEL	LISTEN	0.03
1192	CAUSE	PERMIT	0.03
1193	ASK (REQUEST)	LOOK FOR	0.03
1194	GATHER	MOW	0.03
1195	SHOOT	STRIKE OR BEAT	0.03
1196	PEOPLE	VILLAGE	0.03
1197	BUTTOCKS	THIGH	0.03
1198	TRUE	TRUTH	0.03
1199	JOIN	TIE	0.03
1200	GIVE	SHARE	0.03
1201	MUTE	STUPID	0.03
1202	SOME	THING	0.03
1203	HEART	STOMACH	0.03
1204	CLAY	FLOOR	0.03
1205	AGAIN	MORE	0.03
1206	CATCH	TOUCH	0.03
1207	DESTROY	LOSE	0.03
