ID	GLOSS
793	MAD
794	MAGIC
795	MAGICIAN
796	MAIL
797	MAINLAND
798	MAIZE
799	MAKE
800	MALE
801	MALE (OF ANIMAL)
802	MALE (OF PERSON)
803	MAN
804	MANIOC BREAD
805	MANNER
806	MANY
807	MARE
808	MARKET
809	MARRIED MAN
810	MARRIED WOMAN
811	MARRY
812	MASON
813	MAST
814	MASTER
815	MAT
816	MATCH
817	MEAD
818	MEAL
819	MEANING
820	MEASURE
821	MEAT
822	MEDICINE
823	MEET
824	MEETING HOUSE
825	MELT
826	MEMORY
827	MEN'S HOUSE
828	MESSAGE
829	MIDDAY
830	MIDDLE
831	MILK
832	MILL
833	MIND
834	MIRROR
835	MISS (A TARGET)
836	MISTAKE
837	MIX
838	MOLAR TOOTH
839	MOLD
840	MONEY
841	MONTH
842	MOON
843	MOORLAND
844	MORE
845	MORNING
846	MORTAR CRUSHER
847	MOSQUITO
848	MOTHER
849	MOTHER'S BROTHER
850	MOTHER'S SISTER
851	MOTHER-IN-LAW (OF MAN)
852	MOTHER-IN-LAW (OF WOMAN)
853	MOTOR
854	MOUNTAIN
855	MOUNTAIN OR HILL
856	MOUSE
857	MOUSTACHE
858	MOUTH
859	MOVE
860	MOVE (AFFECT EMOTIONALLY)
861	MOVE (ONESELF)
862	MOW
863	MUD
864	MULE
865	MUMBLE
866	MURDER
867	MUSIC
868	MUTE
869	NAIL (TOOL)
870	NAME
871	NAPE (OF NECK)
872	NARROW
873	NASAL MUCUS (SNOT)
874	NATIVE COUNTRY
875	NAVEL
876	NEAR
877	NECK
878	NECKLACE
879	NEED (NOUN)
880	NEEDLE (FOR SEWING)
881	NEEDLE TREE
882	NEIGHBOUR
883	NEPHEW
884	NEST
885	NETBAG
886	NEVER
887	NEW
888	NEWS
889	NEXT
890	NIECE
891	NIGHT
892	NIPPLE
893	NIT
894	NO
895	NOISE
896	NOOSE
897	NORTH
898	NOSE
899	NOSTRIL
900	NOT
901	NOTHING
902	NOTICE (SOMETHING)
903	NOW
904	NURSE
905	NUT
906	OAK
907	OAT
908	OATH
909	OBEY
910	OBSCURE
911	OCEAN
912	OFTEN
913	OIL (ORGANIC SUBSTANCE)
914	OINTMENT
915	OLD
916	OLD (AGED)
917	OLD MAN
918	OLD WOMAN
919	OLDER BROTHER
920	OLDER SIBLING
921	OLDER SISTER
922	OMEN
923	ONCE (IN THE PAST)
924	ONE
925	ONE TIME
926	ONLY
927	OPEN
928	OR
929	ORDER
930	ORNAMENT
931	ORPHAN
932	OTHER
933	OUTRIGGER
934	OUTSIDE
935	OVEN
936	OWE
937	OWN
938	OX
939	PADDLE
940	PADLOCK
941	PAIN
942	PAINT (PIGMENTS)
943	PAINTING
944	PAIR
945	PALM OF HAND
946	PAN
947	PAPER
948	PARENTS
949	PARENTS-IN-LAW
950	PART
951	PASS
952	PASTURE
953	PATH
954	PATH OR ROAD
955	PAW
956	PAY
957	PEACE
958	PEEL
959	PEG
960	PEN
961	PENIS
962	PEOPLE
963	PEPPER
964	PERJURY
965	PERMIT
966	PERSON
967	PESTLE
968	PETROLEUM
969	PHYSICIAN
970	PICK
971	PICK UP
972	PICTURE
973	PIECE
974	PIERCE
975	PIG
976	PILE UP
977	PILL
978	PIN
979	PINCH
980	PINE
981	PISS
982	PIT (POTHOLE)
983	PITCHFORK
984	PITY
985	PLACE (POSITION)
986	PLAIN
987	PLAIT
988	PLAIT OR BRAID OR WEAVE
989	PLANT (SOMETHING)
990	PLANT (VEGETATION)
991	PLATE
992	PLAY
993	PLOUGH
994	POCKET
995	POINTED
996	POISON
997	PONCHO
998	POOR
999	PORT
1000	POST
1001	POSTCARD
1002	POT
1003	POTATO
1004	POUCH
1005	POUND
1006	POUR
1007	POWERFUL
1008	PRAISE
1009	PRAY
1010	PREACH
1011	PRECIOUS
1012	PRECIPICE
1013	PREGNANT
1014	PREPARE
1015	PRESERVE
1016	PRESIDENT
1017	PRESS
1018	PREVENT
1019	PRICE
1020	PRISON
1021	PRISONER
1022	PRODUCE
1023	PROMISE
1024	PROSTITUTE
1025	PROTECT
1026	PROUD
1027	PUBIC HAIR
1028	PULL
1029	PULL OFF (SKIN)
1030	PUMA
1031	PUMPKIN
1032	PUNISHMENT
1033	PUPIL (STUDENT)
1034	PURSUE
1035	PUS
1036	PUSH
1037	PUT
1038	PUT ON
1039	QUARREL
1040	QUEEN
1041	QUIET
1042	RABBIT
1043	RAFT
1044	RAFTER
1045	RAG
1046	RAIN (PRECIPITATION)
1047	RAIN (RAINING)
1048	RAINBOW
1049	RAISE (A CHILD)
1050	RAKE
1051	RAM
1052	RAPE
1053	RAPIDS
1054	RAT
1055	RAW
1056	RAZOR
1057	READ
1058	READY
1059	RECOGNIZE (SOMEBODY)
1060	RED
1061	REEF
1062	REFUSE
1063	REGRET
1064	RELATIVES
1065	REMAIN
1066	REMAINS
1067	REMEMBER
1068	REPAIR
1069	RESCUE
1070	REST
1071	RESULT IN
1072	RETREAT
1073	RETURN HOME
1074	RIB
1075	RICE
1076	RICH
1077	RIDE
1078	RIDGEPOLE
1079	RIGHT
1080	RING
1081	RING (MAKE SOUND)
1082	RINSE
1083	RIPE
1084	RIPEN
1085	RISE (MOVE UPWARDS)
1086	RIVER
1087	ROAD
1088	ROAR (OF SEA)
1089	ROAST (SOMETHING)
1090	ROAST OR FRY
1091	ROLL
1092	ROOF
1093	ROOM
1094	ROOSTER
1095	ROOT
1096	ROPE
1097	ROT
1098	ROTTEN
1099	ROUGH
1100	ROUGH (OF SEA)
1101	ROUND
1102	ROW
1103	RUB
1104	RUDDER
1105	RUG
1106	RULE
1107	RUN
1108	RYE
1109	SACK
1110	SAGO PALM
1111	SAIL
1112	SAILCLOTH
1113	SALT
1114	SALTY
1115	SAME
1116	SAND
1117	SANDFLY
1118	SAP
1119	SATURDAY
1120	SAUCER
1121	SAUSAGE
1122	SAW
1123	SAY
1124	SCALE
1125	SCAR
1126	SCOLD
1127	SCORPION
1128	SCRAPE
1129	SCRATCH
1130	SCULPTOR
1131	SEA
1132	SEASON
1133	SECOND
1134	SECRET
1135	SEE
1136	SEED
1137	SEEM
1138	SEIZE
1139	SELL
1140	SEND
1141	SEPARATE
1142	SERVANT
1143	SET (HEAVENLY BODIES)
1144	SEVERE
1145	SEW
1146	SHADE
1147	SHAKE
1148	SHALLOW
1149	SHAMAN (FOLK HEALER)
1150	SHARE
1151	SHARK
1152	SHARP
1153	SHARPEN (SOMETHING)
1154	SHE
1155	SHEARS
1156	SHEEP
1157	SHELF
1158	SHELL
1159	SHIELD
1160	SHIN
1161	SHINE
1162	SHIP
1163	SHIRT
1164	SHIT (DEFECATE)
1165	SHIVER
1166	SHOE
1167	SHOOT
1168	SHOP
1169	SHORE
1170	SHORT
1171	SHOULDER
1172	SHOULDERBLADE
1173	SHOUT
1174	SHOVEL
1175	SHOW
1176	SHRIEK
1177	SHUT
1178	SIBLING
1179	SIBLING'S CHILD
1180	SICK
1181	SIDE
1182	SIEVE
1183	SILVER
1184	SIMILAR
1185	SIN
1186	SING
1187	SINK (DESCEND)
1188	SISTER
1189	SIT
1190	SIT DOWN
1191	SKIN
1192	SKIN (OF FRUIT)
1193	SKIRT
1194	SKULL
1195	SKY
1196	SLAB
1197	SLAVE
1198	SLEEP
1199	SLEEP (STATE)
1200	SLICE
1201	SLIP
1202	SLOW
1203	SMALL
1204	SMELL (PERCEIVE)
1205	SMELL (STINK)
1206	SMILE
1207	SMOKE (EMIT SMOKE)
1208	SMOKE (EXHAUST)
1209	SMOKE (INHALE)
1210	SMOOTH
1211	SNAIL
1212	SNAKE
1213	SNEEZE
1214	SNIFF
1215	SNOW
1216	SOFT
1217	SOLDIER
1218	SOLID
1219	SOME
1220	SOMETIMES
1221	SON
1222	SON-IN-LAW (OF MAN)
1223	SON-IN-LAW (OF WOMAN)
1224	SONG
1225	SOON
1226	SOUND (OF INSTRUMENT OR VOICE)
1227	SOUND OR NOISE
1228	SOUP
1229	SOUR
1230	SOUTH
1231	SOW (FEMALE PIG)
1232	SOW SEEDS
1233	SPACE (AVAILABLE)
1234	SPADE
1235	SPEAK
1236	SPEAR
1237	SPECTACLES
1238	SPEECH
1239	SPIDER
1240	SPIDER WEB
1241	SPIN
1242	SPINDLE
1243	SPINE
1244	SPIRIT
1245	SPIT
1246	SPLASH
1247	SPLEEN
1248	SPLIT
1249	SPOIL (BECOME SPOILED)
1250	SPOIL (SOMEBODY OR SOMETHING)
1251	SPOON
1252	SPREAD OUT
1253	SPRING (OF WATER)
1254	SPRING OR WELL
1255	SPRINGTIME
1256	SQUEEZE
1257	STAB
1258	STABLE
1259	STALLION
1260	STAND
1261	STAND UP
1262	STAR
1263	STATE (POLITICS)
1264	STATUE
1265	STEAL
1266	STEAM
1267	STEP (VERB)
1268	STEPDAUGHTER
1269	STEPFATHER
1270	STEPMOTHER
1271	STEPSON
1272	STICK
1273	STILL (CONTINUING)
1274	STINGY
1275	STINKING
1276	STOCKING
1277	STOMACH
1278	STONE
1279	STONE OR ROCK
1280	STORE
1281	STORM
1282	STORM CLOUDS
1283	STORY
1284	STOVE
1285	STRAIGHT
1286	STRANGER
1287	STRAP
1288	STREAM (FLOW CONTINUOUSLY)
1289	STREET
1290	STRENGTH
1291	STRETCH
1292	STRIKE OR BEAT
1293	STRING
1294	STROKE (OF PEN)
1295	STRONG
1296	STUDY
1297	STUPID
1298	STUTTER
1299	SUCCEED
1300	SUCK
1301	SUDDENLY
1302	SUGAR
1303	SUGAR CANE
1304	SUMMER
1305	SUMMIT
1306	SUN
1307	SUNDAY
1308	SURPRISED
1309	SURRENDER
1310	SUSPECT
1311	SWALLOW
1312	SWAMP
1313	SWARM (OF BIRDS)
1314	SWAY
1315	SWEAR
1316	SWEEP
1317	SWEET
1318	SWEET POTATO
1319	SWELL
1320	SWELLING
1321	SWIM
1322	SWING (MOVEMENT)
1323	SWING (SOMETHING)
1324	SWORD
1325	TABLE
1326	TAIL
1327	TAKE
1328	TALK
1329	TALL
1330	TASTE (SOMETHING)
1331	TASTY
1332	TEACH
1333	TEACHER
1334	TEAR (OF EYE)
1335	TEAR (SHRED)
1336	TELL
1337	TEMPLE
1338	TEMPLES
1339	TENDON
1340	TENT
1341	TERMITE
1342	TESTICLES
1343	THAT
1344	THATCH
1345	THAW (DEW)
1346	THEIR
1347	THEN
1348	THERE
1349	THEY
1350	THICK
1351	THIEF
1352	THIGH
1353	THIN
1354	THIN (OF SHAPE OF OBJECT)
1355	THIN (SLIM)
1356	THING
1357	THINK
1358	THINK (BELIEVE)
1359	THINK (REFLECT)
1360	THIRD
1361	THIRST
1362	THIS
1363	THITHER (THERE TO)
1364	THOU
1365	THOUGHT
1366	THREAD
1367	THREATEN
1368	THREE
1369	THRESH
1370	THRESHING-FLOOR
1371	THROAT
1372	THROW
1373	THUMB
1374	THUNDER
1375	THUNDER (VERB)
1376	TIDE
1377	TIE
1378	TIE UP (TETHER)
1379	TIME
1380	TINKLE
1381	TINPLATE
1382	TIP (OF OBJECT)
1383	TIP (OF TONGUE)
1384	TIRED
1385	TOBACCO
1386	TODAY
1387	TOE
1388	TOGETHER
1389	TOMORROW
1390	TONE (MUSIC)
1391	TONGUE
1392	TOOL
1393	TOOTH
1394	TOP
1395	TORCH OR LAMP
1396	TORTOISE
1397	TOUCH
1398	TOWEL
1399	TOWER
1400	TOWN
1401	TRADE OR BARTER
1402	TRANSLATE
1403	TRAP (CATCH)
1404	TRAP (PITFALL)
1405	TREE
1406	TREE STUMP
1407	TREE TRUNK
1408	TROUGH
1409	TRUE
1410	TRUTH
1411	TRY
1412	TUMBLE (FALL DOWN)
1413	TURN
1414	TURN (SOMETHING)
1415	TURN AROUND
1416	TURTLE
1417	TWICE
1418	TWINS
1419	TWIST
1420	TWO
1421	UDDER
1422	UGLY
1423	UNCLE
1424	UNDERSTAND
1425	UNRIPE
1426	UNTIE
1427	UP
1428	UPPER ARM
1429	UPPER BACK
1430	URGE (SOMEONE)
1431	URINE
1432	VAGINA
1433	VALLEY
1434	VEGETABLES
1435	VEIL
1436	VEIN
1437	VICTORY
1438	VILLAGE
1439	VINE
1440	VIOLENCE
1441	VOICE
1442	VOMIT
1443	VULTURE
1444	VULVA
1445	WAGES
1446	WAIST
1447	WAIT (FOR)
1448	WAKE UP
1449	WALK
1450	WALK (TAKE A WALK)
1451	WALKING STICK
1452	WALL (OF HOUSE)
1453	WANT
1454	WARE
1455	WARM
1456	WASH
1457	WASP
1458	WATCH
1459	WATER
1460	WATERFALL
1461	WAVE
1462	WE
1463	WE (EXCLUSIVE)
1464	WE (INCLUSIVE)
1465	WE TWO (INCLUSIVE)
1466	WEAK
1467	WEALTH
1468	WEAPONS
1469	WEATHER
1470	WEAVE
1471	WEDDING
1472	WEEK
1473	WEIGH
1474	WEIGHT
1475	WELL
1476	WEST
1477	WET
1478	WHALE
1479	WHAT
1480	WHEAT
1481	WHEEL
1482	WHEN
1483	WHERE
1484	WHICH
1485	WHISPER
1486	WHISTLE
1487	WHITE
1488	WHITE-LIPPED PECCARY
1489	WHITHER (WHERE TO)
1490	WHO
1491	WHY
1492	WIDE
1493	WIDOW
1494	WIDOWER
1495	WIFE
1496	WIND
1497	WINDOW
1498	WINE
1499	WING
1500	WINTER
1501	WIPE
1502	WISE
1503	WITH
1504	WITHOUT
1505	WOLF
1506	WOMAN
1507	WOMB
1508	WOOD
1509	WOOL
1510	WORD
1511	WORK (ACTIVITY)
1512	WORK (LABOUR)
1513	WORLD
1514	WORM
1515	WORSHIP
1516	WOUND
1517	WRAP
1518	WRIST
1519	WRITE
1520	WRONG
1521	YAM
1522	YARD
1523	YEAR
1524	YELLOW
1525	YES
1526	YESTERDAY
1527	YOLK
1528	YOU
1529	YOUNG
1530	YOUNG MAN
1531	YOUNG WOMAN
1532	YOUNGER BROTHER
1533	YOUNGER SIBLING
1534	YOUNGER SISTER
1535	ZERO
